"il_kodu","city","long","lat","mean_iq","kutuphaneye_giden_cocuk_orani","ogretmen_basina_düsen_ortalama_ogrenci_sayisi(ilkokul, ortaokul, lise","akraba_evliligi_orani","okumus_orani","okumamis_orani"
"1",1,"Adana",37,35.321333,98.76,0.0782125193433868,16.33,4.1236358309529,0.134108374750633,0.0588014971324442
"2",2,"Adıyaman",37.764751,38.278561,97.29,0.414440926651697,14,7.78615794143745,0.110804020497771,0.0750562487054497
"3",3,"Afyonkarahisar",38.750714,30.556692,100.17,0.152541931857804,12.33,2.04315886134068,0.109500184553922,0.04961786481968
"4",4,"Ağrı",39.626922,43021596,96.06,0.323127451874829,15.33,8.70481927710843,0.0690616041162793,0.121828046354833
"5",68,"Aksaray",38.36869,34.03698,99.63,0.560666747582635,13.33,4.51127819548872,0.09994775549572,0.0577786393261641
"6",5,"Amasya",40.64991,35.83532,96.88,0.362849229610906,11.33,1.4207650273224,0.139740203997687,0.0571724084484372
"7",6,"Ankara",39.92077,32.85411,104.91,0.0902655070417584,13.33,1.8757636801955,0.22499268097417,0.0285964668793334
"8",7,"Antalya",36.88414,30.70563,103.29,0.143588757033835,13.67,1.92800409941071,0.15880890379028,0.0334692666663527
"9",75,"Ardahan",41.110481,42.702171,97.33,0.189069966915819,11.67,3.43580470162749,0.109087883861441,0.0814259419099219
"10",8,"Artvin",41.18277,41.818292,95.36,0.38719976130091,11,1.79487179487179,0.155108229449974,0.0593093846054006
"11",9,"Aydın",37.856041,27.841631,100.34,0.529850746268657,12,2.21191028615623,0.147933488460205,0.0487890095828374
"12",10,"Balıkesir",39.648369,27.88261,103.59,0.371215021052844,12,0.869193502422343,0.154383871448901,0.0469166360957361
"13",74,"Bartın",41.581051,32.460979,102.13,0.265669838392992,11.67,1.24113475177305,0.115650395267842,0.0837525568024766
"14",72,"Batman",37.881168,41.13509,98.75,0.263290086358039,15.67,10.3413400758534,0.0993409406749877,0.0808153763312579
"15",69,"Bayburt",40.255169,40.22488,98.29,0.311637279596977,11.67,2.11764705882353,0.136088389696008,0.0657917226223904
"16",11,"Bilecik",40.056656,30.066524,97.14,0.473513665821358,14,1.2701100762066,0.14399886611466,0.028836350169397
"17",12,"Bingöl",39.062635,40.76961,94.19,0.476043956043956,13.33,7.8566505858029,0.112844609749865,0.0852935748559098
"18",13,"Bitlis",38.393799,42.12318,95.96,0.521467151061285,14,11.1163007940215,0.0926255149660678,0.0913405927166846
"19",14,"Bolu",40.575977,31.578809,100.99,0.263654633420171,12.67,0.90689238210399,0.151044148385334,0.0486369209852542
"20",15,"Burdur",37.461267,30.066524,100.15,0.684956236323851,11.33,0.820232399179768,0.150899315591631,0.0480134185973372
"21",16,"Bursa",40.266864,29.063448,103.47,0.146799442210634,15.67,2.07735179868265,0.146778372659005,0.0364574753057305
"22",17,"Çanakkale",40.155312,26.41416,104.02,0.317746185250601,12,0.575953923686105,0.172392844216948,0.0415475636508675
"23",18,"Çankırı",40.601343,33.613421,97.53,0.835157869072291,13,3.53053435114504,0.119509634772486,0.0657596607562309
"24",19,"Çorum",40.550556,34.955556,100.95,0.771945175904876,12.67,1.47734734077479,0.115915838876041,0.0845383927594572
"25",20,"Denizli",37.77652,29.08639,102.14,0.365906983711825,12.33,1.18180346446495,0.141688802639985,0.0411282381366394
"26",21,"Diyarbakır",37.91441,40.230629,99.19,0.105823426238405,16.33,10.5780346820809,0.0999999439283045,0.110060327537202
"27",81,"Düzce",40.843849,31.15654,96.26,0.271502643872889,13,1.07434464976364,0.133044715539617,0.0518880203397198
"28",22,"Edirne",41.681808,26.562269,101.28,0.431535663880143,11,0.579990333494442,0.149118483040394,0.0479739456498015
"29",23,"Elazığ",38.680969,39.226398,98.46,0.806142133617213,13,4.63947990543735,0.144518334580584,0.0845074494863596
"30",24,"Erzincan",39.75,39.5,96.97,0.566156798346772,11,3.25,0.153401214003267,0.0679304358212011
"31",25,"Erzurum",39.9,41.27,98.97,0.476452957591208,12.67,5.29222273354809,0.122697582288313,0.0801050800562853
"32",26,"Eskişehir",39.776667,30.520556,105.2,0.164475828925368,11.67,1.43067536292868,0.185882982984334,0.0284498238129312
"33",27,"Gaziantep",37.06622,37.38332,99.4,0.0592008736855804,19,7.8168068414729,0.0958795558827827,0.0554218461542855
"34",28,"Giresun",40.912811,38.38953,100.56,0.652368786697145,11.33,1.93684210526316,0.13880339899403,0.103387182681443
"35",29,"Gümüşhane",40.438588,39.508556,100.24,0.455035562339645,10.67,2.64385692068429,0.142489167407658,0.0824194436211204
"36",30,"Hakkari",37.583333,43.733333,95.16,0.116188781493914,15.33,8.54119425547997,0.100975352388829,0.0688913922299778
"37",31,"Hatay",36.401849,36.34981,97.36,0.105303104813193,15.67,4.995499549955,0.113175879275848,0.0597021671528096
"38",76,"Iğdır",39.887984,44.004836,96.69,0.191472438820004,13.33,6.19006102877071,0.101329266717665,0.102625748830186
"39",32,"Isparta",37.764771,30.556561,100.06,1.3486018045174,11.67,0.802890405459655,0.165844507431229,0.0420255096478796
"40",34,"İstanbul",41.00527,28.97696,104.02,0.0283514452767634,18,2.76069697427612,0.182985078951256,0.0341683194877501
"41",35,"İzmir",38.41885,27.12872,104.51,0.135441464989475,13,1.96318548850025,0.187551397207633,0.037103607213608
"42",46,"Kahramanmaraş",37.585831,36.937149,99.28,0.102384760948886,15.67,5.22168803418803,0.105788318924671,0.0680050643617372
